Location?,Interaction?,Use?,Completed?,Study ID,Search Term,Authors,Title,SO,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,d,Menidia menidia,"Hovel, KA; Morgan, SG",,,,,,,,Planktivory as a selective force for reproductive synchrony and larval migration,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,157,,,,79,95,,10.3354/meps157079,,,1997,1997,,,,,,,,,,37,0,34,1,39,0171-8630,,WOS:A1997YH29500007,,,,,,,,,,
,,,,d,Menidia menidia,"ALLEN, DM; JOHNSON, WS; OGBURNMATTHEWS, V",,,,,,,,TROPHIC RELATIONSHIPS AND SEASONAL UTILIZATION OF SALT-MARSH CREEKS BY ZOOPLANKTIVOROUS FISHES,,,,,,,,ENVIRONMENTAL BIOLOGY OF FISHES,,,,42,1,,,37,50,,10.1007/BF00002350,,,Jan-95,1995,,,,,,,,,,30,1,28,1,32,0378-1909,,WOS:A1995QG52700005,,,,,,,,,,
,,,,d,Menidia menidia,"SOGARD, SM; ABLE, KW",,,,,,,,DIEL VARIATION IN IMMIGRATION OF FISHES AND DECAPOD CRUSTACEANS TO ARTIFICIAL SEAGRASS HABITAT,,,,,,,,ESTUARIES,,,,17,3,,,622,630,,10.2307/1352410,,,Sep-94,1994,,,,,,,,,,46,0,40,1,48,0160-8347,,WOS:A1994QA35900010,,,,,,,,,,
,,,,d,Menidia menidia,"ROUNTREE, RA; ABLE, KW",,,,,,,,DIEL VARIATION IN DECAPOD CRUSTACEAN AND FISH ASSEMBLAGES IN NEW-JERSEY POLYHALINE MARSH CREEKS,,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,,37,2,,,181,201,,10.1006/ecss.1993.1050,,,Aug-93,1993,,,,,,,,,,64,1,53,1,65,0272-7714,,WOS:A1993LY81400005,,,,,,,,,,
,,,,d,Menidia menidia,"ROUNTREE, RA; ABLE, KW",,,,,,,,"FORAGING HABITS, GROWTH, AND TEMPORAL PATTERNS OF SALT-MARSH CREEK HABITAT USE BY YOUNG-OF-YEAR SUMMER FLOUNDER IN NEW-JERSEY",,,,,,,,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,,,,121,6,,,765,776,,10.1577/1548-8659(1992)121<0765:FHGATP>2.3.CO;2,,,Nov-92,1992,,,,,,,,,,68,1,60,0,70,Feb-87,,WOS:A1992KR62200008,,,,,,,,,,
,,,,d,Menidia menidia,COOREY D N; ABLE K W; SHISLER J K,,,,,,,,LIFE HISTORY AND FOOD HABITS OF THE INLAND SILVERSIDES MENIDIA-BERYLLINA IN A NEW-JERSEY USA SALT MARSH,,,,,,,,Bulletin New Jersey Academy of Science,,,,30,1,,,29,38,,,,,1985,1985,,,,,,,,,,5,0,4,0,6,0028-5455,,BCI:BCI198580010839,,,,,,,,,,
,,,,d,Menidia menidia,"CADIGAN, KM; FELL, PE",,,,,,,,"REPRODUCTION, GROWTH AND FEEDING-HABITS OF MENIDIA-MENIDIA (ATHERINIDAE) IN A TIDAL MARSH-ESTUARINE SYSTEM IN SOUTHERN NEW-ENGLAND",,,,,,,,COPEIA,,,,,1,,,21,26,,,,,1985,1985,,,,,,,,,,11,0,9,0,11,0045-8511,,WOS:A1985ARH6900002,,,,,,,,,,
,,,,d,Menidia menidia,"Cadigan, K.M.; Fell, P.E.",,,,,,,,"Reproduction, growth and feeding habits of Menidia menidia (Atherinidae) in a tidal marsh estuarine system in southern New England.",,,,,,,,Copeia,,,,1985,1,,,21,26,,10.2307/1444786,,,1985,1985,,,,,,,,,,0,0,0,0,0,0045-8511,,ZOOREC:ZOOR12200028384,,,,,,,,,,
,,,,d,Menidia menidia,IMRIE D M G; DABRON G R,,,,,,,,FOOD OF SOME IMMATURE FISH OF MINAS BASIN BAY OF FUNDY CANADA,,,,,,,,Proceedings of the Nova Scotian Institute of Science,,,,31,2,,,149,154,,,,,1981,1981,,,,,,,,,,15,0,13,0,15,0078-2521,,BCI:BCI198273023755,,,,,,,,,,
,,,,d,Menidia menidia,COOREY D N; ABLE K W; SHISLER J K,,,,,,,,SALT MARSH FISHES OF NEW-JERSEY USA LIFE HISTORY OF THE TIDEWATER SILVERSIDE MENIDIA-BERYLLINA,,,,,,,,Bulletin New Jersey Academy of Science,,,,26,2,,,66,66,,,,,1981,1981,,,,,,"26TH ANNUAL MEETING OF THE NEW JERSEY ACADEMY OF SCIENCE AND AFFILIATED SOCIETIES, MAR. 28, 1981. BULL N J ACAD SCI.",,,,0,0,0,0,0,0028-5455,,BCI:BCI198223047966,,,,,,,,,,
,n,n,,,Morone americana,"McGrath, Patrick; Austin, Herbert A.",,,,,,,,"Site Fidelity, Home Range, and Tidal Movements of White Perch during the Summer in Two Small Tributaries of the York River, Virginia",,,,,,,,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,,,,138,5,,,966,974,,10.1577/T08-176.1,,,9/9/15,2009,,,,,,,,,,11,0,10,0,11,Feb-87,,WOS:000272025600002,,,,,,,,,,
,,,,d,Morone americana,"Weis, JS",,,,,,,,"Diet and food web support of the white perch, Morone americana, in the hackensack meadowlands of New Jersey",,,,,,,,ENVIRONMENTAL BIOLOGY OF FISHES,,,,74,1,,,109,113,,10.1007/s10641-005-6466-0,,,9/5/15,2005,,,,,,,,,,11,0,11,0,11,0378-1909,,WOS:000232620300012,,,,,,,,,,
,,,,86,Morone americana,"Neuman, Melissa J.; Ruess, Guillermo; Able, W.",,,,,,,,"Species composition and food habits of dominant fish predators in salt marshes of an urbanized estuary, the Hackensack Meadowlands, New Jersey.",,,,,,,,Urban Habitats,,,,2,1,,,62,82,,,,,12/4/15,2004,,,,,,,,,,0,0,0,0,0,1541-7115,,ZOOREC:ZOOR14205031525,,,,,,,,,,
,,,,87,Morone americana,"Nemerson, DM; Able, KW",,,,,,,,Spatial patterns in diet and distribution of juveniles of four fish species in Delaware Bay marsh creeks: factors influencing fish abundance,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,276,,,,249,262,,10.3354/meps276249,,,2004,2004,,,,,,,,,,32,0,31,0,33,0171-8630,,WOS:000223788100022,,,,,,,,,,
,,,,d,Morone americana,"Warren, RS; Fell, PE; Grimsby, JL; Buck, EL; Rilling, GC; Fertik, RA",,,,,,,,"Rates, patterns, and impacts of Phragmites australis expansion and effects of experimental Phragmites control on vegetation, macroinvertebrates, and fish within tidelands of the lower Connecticut River",,,,,,,,ESTUARIES,,,,24,1,,,90,107,,10.2307/1352816,,,2/1/15,2001,,,,,,,,,,84,0,66,0,85,0160-8347,,WOS:000168130900009,,,,,,,,,,
,,,,88,Orchelimum fidicinium,Wason and Pennings,,,,,,,,Grasshopper (Orthoptera: Tettigoniidae) Species Composition and Size Across Latitude in Atlantic Coast Salt Marshes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,d,Orchestia grillus,"Pascal, Pierre-Yves; Fleeger, John W.",,,,,,,,Diverse Dietary Responses by Saltmarsh Consumers to Chronic Nutrient Enrichment,,,,,,,,ESTUARIES AND COASTS,,,,36,6,,,1115,1124,,10.1007/s12237-013-9624-1,,,11/13/15,2013,,,,,,,,,,0,0,0,0,0,1559-2723,,WOS:000325099900002,,,,,,,,,,
,,,,d,Orchestia grillus,"Johnson, David Samuel",,,,,,,,High-marsh invertebrates are susceptible to eutrophication,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,438,,,,143,152,,10.3354/meps09306,,,2011,2011,,,,,,,,,,6,0,6,0,6,0171-8630,,WOS:000295616000012,,,,,,,,,,
,,,,d,Orchestia grillus,"Fell, Paul E.; Warren, R. Scott; Curtis, Annie E.; Steiner, Erin M.",,,,,,,,Short-term effects on macroinvertebrates and fishes of herbiciding and mowing Phragmites australis-dominated tidal marsh,,,,,,,,NORTHEASTERN NATURALIST,,,,13,2,,,191,212,,10.1656/1092-6194(2006)13[191:SEOMAF]2.0.CO;2,,,2006,2006,,,,,,,,,,4,0,3,0,4,1092-6194,,WOS:000239067200004,,,,,,,,,,
,,,,d,Orchestia grillus,"Agnew, AM; Shull, DH; Buchsbaum, R",,,,,,,,Growth of a salt marsh invertebrate on several species of marsh grass detritus,,,,,,,,BIOLOGICAL BULLETIN,,,,205,2,,,238,239,,10.2307/1543273,,,10/3/15,2003,,,,,,General Scientific Meeting of the Marine-Biological-Laboratory,"AUG 11-13, 2003",Marine Biol Lab,"WOODS HOLE, MASSACHUSETTS",5,1,5,0,6,Jun-85,,WOS:000186338800044,14583550,,,,,,,,,
,,,,d,Orchestia grillus,"Ludlam, JP; Shull, DH; Buchsbaum, R",,,,,,,,Effects of haying on salt-marsh surface invertebrates,,,,,,,,BIOLOGICAL BULLETIN,,,,203,2,,,250,251,,10.2307/1543424,,,10/2/15,2002,,,,,,General Scientific Meeting of the Marine-Biological-Laboratory,"AUG 12-14, 2002",Marine Biol Lab,"WOODS HOLE, MASSACHUSETTS",4,0,3,0,4,Jun-85,,WOS:000179108500044,12414605,,,,,,,,,
,,,,d,Orchestia grillus,"Warren, RS; Fell, PE; Rozsa, R; Brawley, AH; Orsted, AC; Olson, ET; Swamy, V; Niering, WA",,,,,,,,Salt marsh restoration in Connecticut: 20 years of science and management,,,,,,,,RESTORATION ECOLOGY,,,,10,3,,,497,513,,10.1046/j.1526-100X.2002.01031.x,,,9/2/15,2002,,,,,,15th Biennial Meeting of the Estuarine-Research-Federation,"SEP 25-30, 1999",Estuarine Res Federat,"NEW ORLEANS, LOUISIANA",66,1,65,0,72,1061-2971,,WOS:000177383400009,,,,,,,,,,
,,,,d,Orchestia grillus,"Fell, PE; Weissbach, SP; Jones, DA; Fallon, MA; Zeppieri, JA; Faison, EK; Lennon, KA; Newberry, KJ; Reddington, LK",,,,,,,,"Does invasion of oligohaline tidal marshes by reed grass, Phragmites australis (Cav) Trin ex Steud, affect the availability of prey resources for the mummichog, Fundulus heteroclitus L?",,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,222,1/2/15,,,59,77,,10.1016/S0022-0981(97)00138-X,,,4/1/98,1998,,,,,,,,,,73,0,57,0,74,0022-0981,,WOS:000072618500005,,,,,,,,,,
,,,,d,Orchestia grillus,"THOMPSON, LS",,,,,,,,"COMPARISON OF THE DIETS OF THE TIDAL MARSH SNAIL, MELAMPUS-BIDENTATUS AND THE AMPHIPOD, ORCHESTIA-GRILLUS",,,,,,,,NAUTILUS,,,,98,1,,,44,53,,,,,1984,1984,,,,,,,,,,16,0,15,0,16,0028-1344,,WOS:A1984SB46700011,,,,,,,,,,
,,,,d,Orchestia grillus,"VALIELA, I; RIETSMA, CS",,,,,,,,"NITROGEN, PHENOLIC-ACIDS, AND OTHER FEEDING CUES FOR SALT-MARSH DETRITIVORES",,,,,,,,OECOLOGIA,,,,63,3,,,350,356,,10.1007/BF00390664,,,1984,1984,,,,,,,,,,30,2,27,0,32,0029-8549,,WOS:A1984TH17400010,,,,,,,,,,
,,,,d,Orchestia grillus,"Levinton, J.S.; Lopez, G.R.; Heidemann Lassen, H.; Rahn, U.",,,,,,,,Feedback and structure in deposit-feeding marine benthic communities.,,,,,,,,European Marine Biology Symposium,,,,,,,,409,416,,,,No. 11,1977,1977,,,,,,,,,,0,0,0,0,0,,,ZOOREC:ZOOR11600028524,,,,,,,,,,
,,,,d,Orchestia grillus,"MEANY, RA; VALIELA, I; TEAL, JM",,,,,,,,"GROWTH, ABUNDANCE AND DISTRIBUTION OF LARVAL TABANIDS IN EXPERIMENTALLY FERTILIZED PLOTS ON A MASSACHUSETTS SALT-MARSH",,,,,,,,JOURNAL OF APPLIED ECOLOGY,,,,13,2,,,323,332,,10.2307/2401782,,,1976,1976,,,,,,,,,,10,0,10,0,10,0021-8901,,WOS:A1976CB13500001,,,,,,,,,,
,,,,d,Orchestia grillus,"VINCE, S; VALIELA, I; BACKUS, N; TEAL, JM",,,,,,,,PREDATION BY SALT-MARSH KILLIFISH FUNDULUS-HETEROCLITUS (L) IN RELATION TO PREY SIZE AND HABITAT STRUCTURE - CONSEQUENCES FOR PREY DISTRIBUTION AND ABUNDANCE,,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,23,3,,,255,266,,10.1016/0022-0981(76)90024-1,,,1976,1976,,,,,,,,,,214,0,186,1,215,0022-0981,,WOS:A1976CF45400004,,,,,,,,,,
,,,,d,Palaemonetes pugio,"Stout, Josh; Taghon, Gary",,,,,,,,Compensatory partitioning of carbon budgets by the grass shrimp (Palaemonetes pugio) and implications for predator prey relationships,,,,,,,,CENTRAL EUROPEAN JOURNAL OF BIOLOGY,,,,9,1,,,19,27,,10.2478/s11535-013-0177-2,,,1/14/15,2014,,,,,,,,,,0,0,0,0,0,1895-104X,,WOS:000325824400003,,,,,,,,,,
,,,,d,Palaemonetes pugio,"McKinney, Richard A.; Raposa, Kenneth B.",,,,,,,,Factors influencing expanded use of urban marine habitats by foraging wading birds,,,,,,,,URBAN ECOSYSTEMS,,,,16,3,,,411,426,,10.1007/s11252-012-0274-z,,,9/13/15,2013,,,,,,,,,,2,0,2,0,2,1083-8155,,WOS:000323220800002,,,,,,,,,,
,,,,d,Palaemonetes pugio,"Lockfield, Konner C.; Fleeger, John W.; Deegan, Linda A.",,,,,,,,"Mummichog Fundulus heteroclitus responses to long-term, whole-ecosystem nutrient enrichment",,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,492,,,,211,222,,10.3354/meps10495,,,2013,2013,,,,,,,,,,0,0,0,0,0,0171-8630,,WOS:000326439800016,,,,,,,,,,
,,,,d,Palaemonetes pugio,"Goto, Daisuke; Wallace, William G.",,,,"Goto, Daisuke/F-7393-2013","Goto, Daisuke/0000-0003-2668-1310",,,Relevance of intracellular partitioning of metals in prey to differential metal bioaccumulation among populations of mummichogs (Fundulus heteroclitus),,,,,,,,MARINE ENVIRONMENTAL RESEARCH,,,,68,5,,,257,267,,10.1016/j.marenvres.2009.06.015,,,12/9/15,2009,,,,,,,,,,6,0,6,0,6,0141-1136,,WOS:000270631300006,19635631,,,,,,,,,
,,,,d,Palaemonetes pugio,"Post, William",,,,,,,,Food exploitation patterns in an assembly of estuarine herons,,,,,,,,WATERBIRDS,,,,31,2,,,179,192,,10.1675/1524-4695(2008)31[179:FEPIAA]2.0.CO;2,,,6/8/15,2008,,,,,,,,,,4,0,4,0,4,1524-4695,,WOS:000258481800003,,,,,,,,,,
,,,,d,Palaemonetes pugio,"Robertson, T. L.; Weis, J. S.",,,,,,,,Interactions between the grass shrimp Palaemonetes pugio and the salt marsh grasses Phragmites australis and Spartina alterniflora,,,,,,,,BIOLOGICAL INVASIONS,,,,9,1,,,25,30,,10.1007/s10530-006-9002-z,,,1/7/15,2007,,,,,,,,,,4,0,4,0,4,1387-3547,,WOS:000243185800003,,,,,,,,,,
n,n,n,,,Palaemonetes pugio,"Osgood, David T.; Yozzo, David J.; Chambers, Randolph M.; Pianka, Seth; LePage, Christina; Lewis, Jason",,,,,,"Waldman, JR; Limburg, KE; Strayer, DL",,Patterns of habitat utilization by resident nekton in Phragmites and Typha marshes of the Hudson River Estuary,,,,,,,,American Fisheries Society Symposium,,AMERICAN FISHERIES SOCIETY SYMPOSIUM,,51,,,,151,173,,,,,2006,2006,,,,,,Conference on Hudson River Fishes and Their Environment,"March 20 -21, 2003",Amer Fisheries Soc,"Poughkeepsie, NY, USA",9,0,9,0,9,0892-2284(print),978-1-888569-82-7(S),BCI:BCI200700248166,,,,,,,,,,
,,,,d,Palaemonetes pugio,"Perez, MH; Wallace, WG",,,,,,,,"Differences in prey capture in grass shrimp, Palaemonetes pugio, collected along an environmental impact gradient",,,,,,,,ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,,,,46,1,,,81,89,,,,,1/4/15,2004,,,,,,,,,,17,0,16,0,18,0090-4341,,WOS:000187774600010,15025167,,,,,,,,,
,,,,d,Palaemonetes pugio,"Fell, PE; Warren, RS; Light, JK; Rawson, RL; Fairley, SM",,,,,,,,"Comparison of fish and macroinvertebrate use of Typha angustifolia, Phragmites australis, and treated Phragmites marshes along the lower Connecticut River",,,,,,,,ESTUARIES,,,,26,2B,,,534,551,,10.1007/BF02823729,,,4/3/15,2003,,,,,,,,,,26,1,26,0,27,0160-8347,,WOS:000184052700015,,,,,,,,,,
,,,,d,Palaemonetes pugio,"Weis, Judith S.; Windham, Lisamarie; Santiago-Bass, Celine; Weis, Peddrick",,,,,,,,"Growth, survival, and metal content of marsh invertebrates fed diets of detritus from Spartina alterniflora Loisel. and Phragmites australis Cav. Trin. ex Steud. from metal-contaminated and clean sites",,,,,,,,Wetlands Ecology and Management,,,,10,1,,,71,84,,10.1023/A:1014311521708,,,2/1/02,2002,,,,,,,,,,18,2,17,0,21,0923-4861,,BCI:BCI200200248290,,,,,,,,,,
,,,,d,Palaemonetes pugio,"Bass, CS; Bhan, S; Smith, GM; Weis, JS",,,,,,,,Some factors affecting size distribution and density of grass shrimp (Palaemonetes pugio) populations in two New Jersey estuaries,,,,,,,,HYDROBIOLOGIA,,,,450,1/3/15,,,231,241,,10.1023/A:1017505229481,,,5/1/15,2001,,,,,,,,,,9,1,9,0,11,0018-8158,,WOS:000170963600020,,,,,,,,,,
,,,,d,Palaemonetes pugio,"Wallace, WG; Lopez, GR; Levinton, JS",,,,,,,,Cadmium resistance in an oligochaete and its effect on cadmium trophic transfer to an omnivorous shrimp,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,172,,,,225,237,,10.3354/meps172225,,,1998,1998,,,,,,,,,,134,1,122,0,136,0171-8630,,WOS:000076817000019,,,,,,,,,,
,,,,d,Palaemonetes pugio,"Kneib, RT",,,,,,,,Early life stages of resident nekton in intertidal marshes,,,,,,,,ESTUARIES,,,,20,1,,,214,230,,10.2307/1352732,,,Mar-97,1997,,,,,,,,,,60,2,45,2,61,0160-8347,,WOS:A1997WT78400017,,,,,,,,,,
,,,,d,Palaemonetes pugio,"DAVANZO, C; ALBER, M; VALIELA, I",,,,,,,,NITROGEN ASSIMILATION FROM AMORPHOUS DETRITUS BY 2 COASTAL CONSUMERS,,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,,33,2,,,203,209,,10.1016/0272-7714(91)90007-X,,,Aug-91,1991,,,,,,,,,,18,0,15,0,18,0272-7714,,WOS:A1991GA64500007,,,,,,,,,,
,,,,d,Palaemonetes pugio,"YAN, HY",,,,"hou, jingyi/F-9927-2010",,,,"COMPARATIVE REPRODUCTIVE STRATEGIES OF THE GRASS SHRIMPS, PALAEMONETES-VULGARIS AND PALAEMONETES-PUGIO (DECAPODA, NATANTIA) IN GREAT SIPPEWISSETT SALT-MARSH, MASSACHUSETTS, USA",,,,,2,,,CRUSTACEANA,,,,52,,,,141,148,,10.1163/156854087X00187,,,Mar-87,1987,,,,,,,,,,4,0,4,0,4,0011-216X,,WOS:A1987H368400003,,,,,,,,,,
,,,,d,Palaemonetes pugio,"Forgash, A. J.",,,,,,,,A summary of studies of the impact of temephos and chlorpyrifos on the saltmarsh environment.,,,,,,,,"Proceedings, New Jersey Mosquito Control Association, Inc.",,,,63,,,,94,98,,,,,1976,1976,,,,,,"Proceedings, Sixty-third Annual Meeting, New Jersey Mosquito Control Association Inc. Cherry Hill, New Jersey, 10, 11, 12 March 1976.",,,,3,0,2,0,3,,,CABI:19770545567,,,,,,,,,,
,,,,d,Paranais litoralis,"Galvan, Kari; Fleeger, John W.; Fry, Brian",,,,"Fleeger, John/A-6215-2013",,,,Stable isotope addition reveals dietary importance of phytoplankton and microphytobenthos to saltmarsh infauna,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,359,,,,37,49,,10.3354/meps07321,,,2008,2008,,,,,,,,,,37,0,35,0,38,0171-8630,,WOS:000256338000004,,,,,,,,,,
,n,n,,,Paranais litoralis,"Stocks, KI; Grassle, JF",,,,,,,,Benthic macrofaunal communities in partially impounded salt marshes in Delaware: Comparisons with natural marshes and responses to sediment exposure,,,,,,,,ESTUARIES,,,,26,3,,,777,789,,10.1007/BF02711988,,,6/3/15,2003,,,,,,,,,,7,0,5,0,7,0160-8347,,WOS:000184803900014,,,,,,,,,,
,n,n,,,Paranais litoralis,"Stocks, KI; Grassle, JF",,,,,,,,Effects of microalgae and food limitation on the recolonization of benthic macrofauna into in situ saltmarsh-pond mesocosms,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,221,,,,93,104,,10.3354/meps221093,,,2001,2001,,,,,,,,,,19,0,16,0,19,0171-8630,,WOS:000172382700008,,,,,,,,,,
,n,n,,,Paranais litoralis,"Sarda, R; Valiela, I; Foreman, K",,,,"Sarda, Rafael/J-9118-2012",,,,Decadal shifts in a salt marsh macroinfaunal community in response to sustained long-term experimental nutrient enrichment,,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,205,1/2/15,,,63,81,,10.1016/S0022-0981(96)02600-7,,,11/1/96,1996,,,,,,,,,,46,0,39,0,47,0022-0981,,WOS:A1996VU57300005,,,,,,,,,,
,n,n,,,Paranais litoralis,"WILTSE, WI; FOREMAN, KH; TEAL, JM; VALIELA, I",,,,,,,,EFFECTS OF PREDATORS AND FOOD RESOURCES ON THE MACROBENTHOS OF SALT-MARSH CREEKS,,,,,,,,JOURNAL OF MARINE RESEARCH,,,,42,4,,,923,942,,,,,1984,1984,,,,,,,,,,61,0,48,0,61,0022-2402,,WOS:A1984TW09300008,,,,,,,,,,
,,,,d,Pardosa,"Wimp, Gina M.; Murphy, Shannon M.; Lewis, Danny; Douglas, Margaret R.; Ambikapathi, Ramya; Van-Tull, Lie'Ann; Gratton, Claudio; Denno, Robert F.",,,,,,,,Predator hunting mode influences patterns of prey use from grazing and epigeic food webs,,,,,,,,OECOLOGIA,,,,171,2,,,505,515,,10.1007/s00442-012-2435-4,,,2/13/15,2013,,,,,,,,,,5,0,5,0,6,0029-8549,,WOS:000313800600019,22926724,,,,,,,,,
,n,n,,,Pardosa,"Lewis, Danny; Denno, Robert F.",,,,,,,,A seasonal shift in habitat suitability enhances an annual predator subsidy,,,,,,,,JOURNAL OF ANIMAL ECOLOGY,,,,78,4,,,752,760,,10.1111/j.1365-2656.2009.01550.x,,,7/9/15,2009,,,,,,,,,,5,0,5,0,5,0021-8790,,WOS:000266707500007,19486378,,,,,,,,,
,n,n,,,Pardosa,"Denno, RF; Lewis, D; Gratton, C",,,,,,,,Spatial variation in the relative strength of top-down and bottom-up forces: causes and consequences for phytophagous insect populations,,,,,,,,ANNALES ZOOLOGICI FENNICI,,,,42,4,,,295,311,,,,,8/29/05,2005,,,,,,Workshop on Spatial Ecology of Insect-Plant Interactions,"NOV 05-09, 2004",,"Univ Helsinki, Helsinki, FINLAND",49,1,46,0,50,0003-455X,,WOS:000232236200002,,,,,,,,,,
,,,,d,Pardosa,"Denno, RF; Mitter, MS; Langellotto, GA; Gratton, C; Finke, DL",,,,,,,,Interactions between a hunting spider and a web-builder: consequences of intraguild predation and cannibalism for prey suppression,,,,,,,,ECOLOGICAL ENTOMOLOGY,,,,29,5,,,566,577,,10.1111/j.0307-6946.2004.00628.x,,,10/4/15,2004,,,,,,,,,,50,2,47,0,52,0307-6946,,WOS:000223905200006,,,,,,,,,,
,,,,d,Pardosa,"Finke, DL; Denno, RF",,,,,,,,Predator diversity dampens trophic cascades,,,,,,,,NATURE,,,,429,6990,,,407,410,,10.1038/nature02554,,,5/27/04,2004,,,,,,,,,,238,7,227,0,247,0028-0836,,WOS:000221644600037,15164061,,,,,,,,,
,,,,89,Pardosa,"Finke, DL; Denno, RF",,,,,,,,Intra-guild predation relaxes natural enemy impacts on herbivore populations,,,,,,,,ECOLOGICAL ENTOMOLOGY,,,,28,1,,,67,73,,10.1046/j.1365-2311.2003.00475.x,,,2/3/15,2003,,,,,,,,,,49,2,51,0,53,0307-6946,,WOS:000181027100008,,,,,,,,,,
,,,,90,Pardosa,"Denno, RF; Gratton, C; Peterson, MA; Langellotto, GA; Finke, DL; Huberty, AF",,,,,,,,Bottom-up forces mediate natural-enemy impact in a phytophagous insect community,,,,,,,,ECOLOGY,,,,83,5,,,1443,1458,,10.2307/3071956,,,5/2/15,2002,,,,,,,,,,139,3,139,0,146,Dec-58,,WOS:000175131300025,,,,,,,,,,
,n,n,,,Pardosa,"Finke, DL; Denno, RF",,,,,,,,Intraguild predation diminished in complex-structured vegetation: Implications for prey suppression,,,,,,,,ECOLOGY,,,,83,3,,,643,652,,,,,3/2/15,2002,,,,,,,,,,168,4,163,0,175,Dec-58,,WOS:000173967500007,,,,,,,,,,
,,,,d,Pardosa,"Morse, DH",,,,,,,,"Distribution, movement, and activity patterns of an intertidal wolf spider Pardosa lapidicina population (araneae, lycosidae)",,,,,,,,JOURNAL OF ARACHNOLOGY,,,,25,1,,,1,10,,,,,1997,1997,,,,,,,,,,26,0,24,0,27,0161-8202,,WOS:A1997XC98600001,,,,,,,,,,
n,,n,,,Phragmites australis,"Lupien, N. Gagnon; Gauthier, G.; Lavoie, C.",,,,,,,,"Effect of the invasive common reed on the abundance, richness and diversity of birds in freshwater marshes",,,,,,,,ANIMAL CONSERVATION,,,,18,1,,,32,43,,10.1111/acv.12135,,,2/15/15,2015,,,,,,,,,,0,0,0,0,0,1367-9430,,WOS:000348900200007,,,,,,,,,,
,,,,d,Phragmites australis,"Meyer, David L.; Posey, Martin H.",,,,,,,,"Isolated salt marsh colonization by a resident species, mummichog (Fundulus heteroclitus), and a transient species, pinfish (Lagodon rhomboides)",,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,460,,,,197,210,,10.1016/j.jembe.2014.06.013,,,11/14/15,2014,,,,,,,,,,0,0,0,0,0,0022-0981,,WOS:000341473400024,,,,,,,,,,
,,,,,Phragmites australis,"Dibble, Kimberly L.; Meyerson, Laura A.",,,,,,,,The Effects of Plant Invasion and Ecosystem Restoration on Energy Flow through Salt Marsh Food Webs,,,,,,,,ESTUARIES AND COASTS,,,,37,2,,,339,353,,10.1007/s12237-013-9673-5,,,3/14/15,2014,,,,,,,,,,1,0,1,0,1,1559-2723,,WOS:000334170400007,,,,,,,,,,
,,,,d,Phragmites australis,"Dibble, Kimberly L.; Pooler, Penelope S.; Meyerson, Laura A.",,,,"Meyerson, Laura/D-4487-2013",,,,Impacts of plant invasions can be reversed through restoration: a regional meta-analysis of faunal communities,,,,,,,,BIOLOGICAL INVASIONS,,,,15,8,,,1725,1737,,10.1007/s10530-012-0404-9,,,8/13/15,2013,,,,,,,,,,6,0,6,0,6,1387-3547,,WOS:000321264300008,,,,,,,,,,
,,,,d,Phragmites australis,"Lockfield, Konner C.; Fleeger, John W.; Deegan, Linda A.",,,,,,,,"Mummichog Fundulus heteroclitus responses to long-term, whole-ecosystem nutrient enrichment",,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,492,,,,211,222,,10.3354/meps10495,,,2013,2013,,,,,,,,,,0,0,0,0,0,0171-8630,,WOS:000326439800016,,,,,,,,,,
,,,,d,Phragmites australis,"Dibble, Kimberly L.; Meyerson, Laura A.",,,,"Meyerson, Laura/K-9013-2012; Meyerson, Laura/D-4487-2013",,,,Tidal Flushing Restores the Physiological Condition of Fish Residing in Degraded Salt Marshes,,,,,,,,PLOS ONE,,,,7,9,,,,,e46161,10.1371/journal.pone.0046161,,,9/27/12,2012,,,,,,,,,,7,0,7,0,7,1932-6203,,WOS:000309517500067,23029423,,,,,,,,,
